"fn","m","f","t"
"A.j.",1.00,0.00,11
"Aaliyah",0.03,0.97,429
"Aamir",0.92,0.08,12
"Aaron",0.98,0.02,2112
"Aarron",1.00,0.00,12
"Abbas",0.75,0.25,16
"Abbey",0.04,0.96,183
"Abbi",0.00,1.00,63
"Abbie",0.05,0.95,146
"Abbigail",0.06,0.94,18
"Abby",0.01,0.99,1054
"Abdel",0.95,0.05,22
"Abdiel",0.85,0.15,20
"Abdifatah",0.92,0.08,12
"Abdirahman",0.92,0.08,25
"Abdul",0.96,0.04,137
"Abdulaziz",0.87,0.13,15
"Abdulla",0.71,0.29,14
"Abdullah",0.91,0.09,95
"Abdullahi",0.97,0.03,30
"Abdulrahman",0.95,0.05,22
"Abe",0.92,0.08,60
"Abel",0.92,0.08,165
"Abena",0.00,1.00,13
"Abhishek",0.80,0.20,25
"Abi",0.21,0.79,68
"Abigail",0.01,0.99,883
"Abigale",0.00,1.00,15
"Abigayle",0.00,1.00,13
"Abiodun",0.91,0.09,11
"Abner",0.97,0.03,32
"Abraham",0.98,0.02,287
"Abram",0.96,0.04,24
"Abrar",1.00,0.00,12
"Abria",0.00,1.00,12
"Abriana",0.00,1.00,22
"Abrianna",0.00,1.00,16
"Abril",0.17,0.83,48
"Abu",0.89,0.11,18
"Acacia",0.03,0.97,33
"Ace",0.87,0.13,38
"Ada",0.10,0.90,86
"Adalberto",0.94,0.06,17
"Adam",0.99,0.01,1951
"Adan",0.99,0.01,85
"Adara",0.00,1.00,14
"Adarius",0.92,0.08,12
"Addi",0.13,0.88,16
"Addie",0.22,0.78,81
"Addison",0.25,0.75,121
"Adela",0.02,0.98,56
"Adelaida",0.00,1.00,12
"Adelaide",0.00,1.00,11
"Adele",0.00,1.00,22
"Adelina",0.03,0.97,30
"Adeline",0.00,1.00,29
"Aden",0.96,0.04,25
"Adena",0.00,1.00,11
"Adia",0.04,0.96,28
"Adil",0.83,0.17,23
"Adilene",0.03,0.97,29
"Adina",0.03,0.97,34
"Aditya",0.07,0.93,27
"Adnan",1.00,0.00,24
"Adolfo",0.96,0.04,56
"Adonis",0.86,0.14,64
"Adreana",0.00,1.00,16
"Adreanna",0.00,1.00,15
"Adria",0.00,1.00,28
"Adrian",0.88,0.12,1077
"Adriana",0.02,0.98,740
"Adrianna",0.01,0.99,310
"Adrianne",0.18,0.82,50
"Adriano",0.75,0.25,12
"Adrien",0.91,0.09,33
"Adrienne",0.17,0.83,189
"Adrionna",0.23,0.77,13
"Aerial",0.19,0.81,21
"Afrika",0.09,0.91,11
"Afton",0.93,0.07,28
"Agnes",0.02,0.98,41
"Agustin",0.94,0.06,63
"Ahmad",0.96,0.04,198
"Ahmed",0.96,0.04,261
"Ahsan",0.86,0.14,14
"Aicha",0.00,1.00,16
"Aida",0.03,0.97,68
"Aidan",0.88,0.12,274
"Aide",0.15,0.85,13
"Aiden",0.89,0.11,130
"Aiesha",0.00,1.00,16
"Aileen",0.05,0.95,132
"Ailyn",0.07,0.93,15
"Aiman",0.83,0.17,12
"Aime",0.08,0.92,13
"Aimee",0.01,0.99,191
"Ainsley",0.10,0.90,31
"Aisha",0.02,0.98,184
"Aislinn",0.23,0.77,31
"Aislynn",0.18,0.82,11
"Aiyana",0.05,0.95,39
"Aiyanna",0.00,1.00,24
"AJ",0.96,0.04,437
"Ajay",0.90,0.10,40
"Akeem",0.85,0.15,60
"Akhil",0.88,0.12,17
"Akia",0.04,0.96,24
"Akil",0.87,0.13,15
"Akilah",0.15,0.85,34
"Akira",0.12,0.88,59
"Akiva",0.17,0.83,18
"Akram",0.82,0.18,17
"Akshay",0.29,0.71,38
"Al",0.98,0.02,127
"Alaa",0.27,0.73,30
"Alain",0.86,0.14,42
"Alaina",0.00,1.00,146
"Alan",0.98,0.02,534
"Alana",0.01,0.99,300
"Alanah",0.00,1.00,22
"Alani",0.19,0.81,16
"Alanis",0.18,0.82,28
"Alanna",0.01,0.99,112
"Alannah",0.05,0.95,20
"Alaya",0.00,1.00,11
"Alayna",0.01,0.99,75
"Alaysha",0.05,0.95,22
"Alaysia",0.00,1.00,22
"Alba",0.22,0.78,51
"Albert",0.99,0.01,349
"Alberta",0.05,0.95,20
"Alberto",0.98,0.02,257
"Albina",0.00,1.00,11
"Alden",0.95,0.05,22
"Aldo",0.97,0.03,58
"Ale",0.71,0.29,52
"Alea",0.03,0.97,38
"Aleah",0.07,0.93,70
"Alec",0.94,0.06,592
"Alecia",0.01,0.99,80
"Aleena",0.00,1.00,31
"Aleesha",0.00,1.00,18
"Aleigha",0.13,0.87,15
"Aleisha",0.00,1.00,26
"Alejandra",0.07,0.93,467
"Alejandro",0.96,0.04,647
"Alek",0.89,0.11,36
"Aleks",0.79,0.21,24
"Aleksandar",0.82,0.18,11
"Aleksandra",0.14,0.86,21
"Alen",0.91,0.09,11
"Alena",0.01,0.99,82
"Alesha",0.00,1.00,48
"Aleshia",0.00,1.00,21
"Alesia",0.03,0.97,35
"Alessandra",0.02,0.98,61
"Alessandro",0.76,0.24,21
"Alessia",0.00,1.00,17
"Alethea",0.04,0.96,23
"Alex",0.96,0.04,4570
"Alexa",0.02,0.98,740
"Alexander",0.94,0.06,1217
"Alexandra",0.03,0.97,1043
"Alexandrea",0.04,0.96,46
"Alexandria",0.05,0.95,566
"Alexandro",0.93,0.07,14
"Alexcia",0.00,1.00,22
"Alexes",0.17,0.83,12
"Alexi",0.24,0.76,34
"Alexia",0.01,0.99,335
"Alexie",0.16,0.84,19
"Alexis",0.27,0.73,3769
"Alexsandra",0.11,0.89,19
"Alexx",0.92,0.08,12
"Alexxis",0.23,0.77,22
"Alexys",0.15,0.85,34
"Alexzander",0.93,0.07,14
"Alexzandra",0.00,1.00,16
"Alexzandria",0.09,0.91,11
"Aleya",0.07,0.93,15
"Aleyah",0.07,0.93,14
"Alfonso",0.99,0.01,99
"Alfonzo",0.92,0.08,13
"Alfred",0.99,0.01,121
"Alfreda",0.17,0.83,12
"Alfredo",0.99,0.01,201
"Alia",0.03,0.97,73
"Aliah",0.14,0.86,22
"Aliana",0.00,1.00,20
"Alica",0.00,1.00,15
"Alice",0.01,0.99,263
"Alicea",0.00,1.00,16
"Alicia",0.01,0.99,1237
"Alida",0.00,1.00,12
"Alina",0.01,0.99,183
"Aline",0.09,0.91,35
"Alisa",0.01,0.99,145
"Alise",0.00,1.00,16
"Alisha",0.02,0.98,379
"Alishia",0.00,1.00,22
"Alisia",0.00,1.00,38
"Alison",0.05,0.95,306
"Alissa",0.02,0.98,253
"Alisson",0.07,0.93,15
"Alivia",0.00,1.00,65
